plot.no,samp.date,plant.no,samp.type,no.aphids
1106,44048,4,random,0
1106,44048,5,random,0
1109,44048,1,flagged,0
1109,44048,2,flagged,1
1109,44048,3,flagged,0
1109,44048,4,flagged,0
1109,44048,5,flagged,1
1109,44048,1,random,0
1109,44048,2,random,1
1109,44048,3,random,0
1109,44048,4,random,6
1109,44048,5,random,1
109,44054,1,flagged,9
109,44054,2,flagged,3
109,44054,3,flagged,1
109,44054,4,flagged,17
109,44054,5,flagged,7
109,44054,1,random,3
109,44054,2,random,18
109,44054,3,random,3
109,44054,4,random,6
109,44054,5,random,5
110,44054,1,flagged,5
110,44054,2,flagged,20
110,44054,3,flagged,2
110,44054,4,flagged,0
110,44054,5,flagged,6
110,44054,1,random,64
110,44054,2,random,3
110,44054,3,random,10
110,44054,4,random,0
110,44054,5,random,13
711,44054,1,flagged,0
711,44054,2,flagged,0
711,44054,3,flagged,12
711,44054,4,flagged,4
711,44054,5,flagged,0
711,44054,1,random,9
711,44054,2,random,0
711,44054,3,random,2
711,44054,4,random,0
711,44054,5,random,0
610,44054,1,flagged,1
610,44054,2,flagged,0
610,44054,3,flagged,0
610,44054,4,flagged,17
610,44054,5,flagged,0
610,44054,1,random,11
610,44054,2,random,0
610,44054,3,random,0
610,44054,4,random,4
610,44054,5,random,0
604,44054,1,flagged,1
604,44054,2,flagged,3
604,44054,3,flagged,0
604,44054,4,flagged,8
604,44054,5,flagged,7
604,44054,1,random,1
604,44054,2,random,3
604,44054,3,random,0
604,44054,4,random,4
604,44054,5,random,3
710,44054,1,flagged,0
710,44054,2,flagged,10
710,44054,3,flagged,16
710,44054,4,flagged,0
710,44054,5,flagged,0
710,44054,1,random,0
710,44054,2,random,9
710,44054,3,random,4
710,44054,4,random,4
710,44054,5,random,0
1109,44054,1,flagged,5
1109,44054,2,flagged,16
1109,44054,3,flagged,0
1109,44054,4,flagged,1
1109,44054,5,flagged,4
1109,44054,1,random,6
1109,44054,2,random,2
1109,44054,3,random,4
1109,44054,4,random,22
1109,44054,5,random,14
1106,44054,1,flagged,0
1106,44054,2,flagged,13
1106,44054,3,flagged,0
1106,44054,4,flagged,0
1106,44054,5,flagged,0
1106,44054,1,random,0
1106,44054,2,random,0
1106,44054,3,random,0
1106,44054,4,random,4
1106,44054,5,random,0
109,44057,1,flagged,40
109,44057,2,flagged,1
109,44057,3,flagged,0
109,44057,4,flagged,26
109,44057,5,flagged,7
109,44057,1,random,4
109,44057,2,random,4
109,44057,3,random,69
109,44057,4,random,2
109,44057,5,random,20
110,44057,1,flagged,7
110,44057,2,flagged,29
110,44057,3,flagged,8
110,44057,4,flagged,0
110,44057,5,flagged,18
110,44057,1,random,1
110,44057,2,random,16
110,44057,3,random,2
110,44057,4,random,2
110,44057,5,random,40
711,44057,1,flagged,1
711,44057,2,flagged,0
711,44057,3,flagged,6
711,44057,4,flagged,2
711,44057,5,flagged,0
711,44057,1,random,2
711,44057,2,random,7
711,44057,3,random,3
711,44057,4,random,17
711,44057,5,random,11
610,44057,1,flagged,0
610,44057,2,flagged,0
610,44057,3,flagged,2
610,44057,4,flagged,20
610,44057,5,flagged,12
610,44057,1,random,2
610,44057,2,random,0
610,44057,3,random,7
610,44057,4,random,9
610,44057,5,random,66
604,44057,1,flagged,3
604,44057,2,flagged,4
604,44057,3,flagged,0
604,44057,4,flagged,14
604,44057,5,flagged,4
604,44057,1,random,0
604,44057,2,random,7
604,44057,3,random,1
604,44057,4,random,0
604,44057,5,random,0
710,44057,1,flagged,0
710,44057,2,flagged,7
710,44057,3,flagged,17
710,44057,4,flagged,0
710,44057,5,flagged,0
710,44057,1,random,3
710,44057,2,random,7
710,44057,3,random,26
710,44057,4,random,75
710,44057,5,random,0
1109,44057,1,flagged,0
1109,44057,2,flagged,9
1109,44057,3,flagged,0
1109,44057,4,flagged,0
1109,44057,5,flagged,14
1109,44057,1,random,0
1109,44057,2,random,0
1109,44057,3,random,13
1109,44057,4,random,6
1109,44057,5,random,7
1106,44057,1,flagged,0
1106,44057,2,flagged,20
1106,44057,3,flagged,1
1106,44057,4,flagged,5
1106,44057,5,flagged,0
1106,44057,1,random,0
1106,44057,2,random,14
1106,44057,3,random,0
1106,44057,4,random,23
1106,44057,5,random,2
109,44060,1,flagged,32
